received_iso,boat_id,fix_time_iso,lat,lon,speed_kn,heading_deg,fix_ok,carr_soln,num_sv
2026-09-18T04:21:36.108Z,00002,2026-09-18T04:21:36.098Z,40.8969820,-118.3827449,0.00,320.0,true,2,14
2026-09-18T04:21:36.112Z,00005,2026-09-18T04:21:36.103Z,40.8969820,-118.3826843,0.00,320.0,true,2,14
2026-09-18T04:21:36.113Z,00006,2026-09-18T04:21:36.099Z,40.8969820,-118.3826641,0.00,320.0,true,2,14
2026-09-18T04:21:36.114Z,00004,2026-09-18T04:21:36.099Z,40.8969820,-118.3827045,0.00,41.6,true,2,14
2026-09-18T04:21:36.115Z,00001,2026-09-18T04:21:36.106Z,40.8969820,-118.3827650,0.00,38.7,true,2,14
2026-09-18T04:21:36.124Z,00007,2026-09-18T04:21:36.111Z,40.8969820,-118.3826439,0.00,38.1,true,2,14
2026-09-18T04:21:36.131Z,00008,2026-09-18T04:21:36.117Z,40.8969873,-118.3832860,0.00,39.3,true,2,14
2026-09-18T04:21:36.137Z,00010,2026-09-18T04:21:36.126Z,40.8969869,-118.3831880,0.00,320.0,true,2,14
2026-09-18T04:21:36.133Z,00009,2026-09-18T04:21:36.121Z,40.8969871,-118.3832370,0.00,320.0,true,2,14
2026-09-18T04:21:36.134Z,00003,2026-09-18T04:21:36.122Z,40.8969884,-118.3835309,0.00,42.8,true,2,14
2026-09-18T04:21:36.135Z,00011,2026-09-18T04:21:36.117Z,40.8969867,-118.3831391,0.00,37.6,true,2,14
2026-09-18T04:21:36.141Z,00016,2026-09-18T04:21:36.135Z,40.8969856,-118.3828941,0.00,41.3,true,2,14
2026-09-18T04:21:36.145Z,00017,2026-09-18T04:21:36.135Z,40.8969854,-118.3828452,0.00,43.0,true,2,14
2026-09-18T04:21:36.148Z,00013,2026-09-18T04:21:36.142Z,40.8969862,-118.3830411,0.00,320.0,true,2,14
2026-09-18T04:21:36.151Z,00015,2026-09-18T04:21:36.142Z,40.8969858,-118.3829431,0.00,320.0,true,2,14
2026-09-18T04:21:36.153Z,00014,2026-09-18T04:21:36.145Z,40.8969860,-118.3829921,0.00,36.3,true,2,14
2026-09-18T04:21:36.154Z,00012,2026-09-18T04:21:36.143Z,40.8969865,-118.3830901,0.00,320.0,true,2,14
2026-09-18T04:21:36.163Z,00018,2026-09-18T04:21:36.156Z,40.8969851,-118.3827962,0.00,320.0,true,2,14
2026-09-18T04:21:36.170Z,00021,2026-09-18T04:21:36.165Z,40.8969845,-118.3826492,0.00,40.3,true,2,14
2026-09-18T04:21:36.179Z,00020,2026-09-18T04:21:36.157Z,40.8969847,-118.3826982,0.00,37.8,true,2,14
2026-09-18T04:21:36.181Z,00019,2026-09-18T04:21:36.174Z,40.8969849,-118.3827472,0.00,41.5,true,2,14
2026-09-18T04:21:36.183Z,00022,2026-09-18T04:21:36.179Z,40.8969843,-118.3826003,0.00,320.0,true,2,14
2026-09-18T04:21:36.189Z,00023,2026-09-18T04:21:36.185Z,40.8969841,-118.3825513,0.00,38.0,true,2,14
2026-09-18T04:21:36.198Z,00025,2026-09-18T04:21:36.193Z,40.8969836,-118.3824533,0.00,42.6,true,2,14
2026-09-18T04:21:36.199Z,00024,2026-09-18T04:21:36.194Z,40.8969838,-118.3825023,0.00,42.6,true,2,14
2026-09-18T04:21:36.212Z,00026,2026-09-18T04:21:36.208Z,40.8969834,-118.3824043,0.00,41.9,true,2,14
2026-09-18T04:21:36.218Z,00027,2026-09-18T04:21:36.213Z,40.8969832,-118.3823553,0.00,320.0,true,2,14
2026-09-18T04:21:36.219Z,00028,2026-09-18T04:21:36.218Z,40.8970000,-118.3821000,0.00,0.0,true,0,0
2026-09-18T04:21:36.223Z,00029,2026-09-18T04:21:36.219Z,40.8969827,-118.3822574,0.00,320.0,true,2,14
2026-09-18T04:21:36.230Z,00030,2026-09-18T04:21:36.227Z,40.8969825,-118.3822084,0.00,38.4,true,2,14
2026-09-18T04:21:39.223Z,00028,2026-09-18T04:21:39.219Z,40.8970000,-118.3821000,0.00,0.0,true,0,0
2026-09-18T04:21:42.223Z,00028,2026-09-18T04:21:42.220Z,40.8970000,-118.3821000,0.00,0.0,true,0,0
